topology,solver,graph_size,runtime_mean,runtime_std,gap_mean,gap_std
pegasus,CPLEX,2.0,0.011755202,0.0065794298530161815,1.2042670051684254e-06,1.0052676728939392e-05
pegasus,VeloxQ AutoTune,2.0,0.05232735633,0.03536270913164614,0.00033542643627056015,0.0023971408072553783
pegasus,CPLEX,4.0,2.6443281458000003,1.7106541147092604,0.00016218049416129017,0.0007144051873375266
pegasus,VeloxQ AutoTune,4.0,0.057169275529999994,0.05319676291783616,4.246844742294911e-05,0.0015280288470280292
pegasus,CPLEX,6.0,65.972732422,75.27324983814121,5.0380453732784135e-05,0.00021428081756898217
pegasus,VeloxQ AutoTune,6.0,0.05319673454,0.007889120862571099,0.0032448509176378755,0.00616069851544471
pegasus,CPLEX,8.0,583.1218673460501,354.29581557298627,0.0019214901445016972,0.006601255300299461
pegasus,VeloxQ AutoTune,8.0,0.056967555,0.008918842600108912,0.007041097098042401,0.009156801615516477
pegasus,CPLEX,10.0,1181.43199408995,83.1999656839429,0.0798264611575749,0.10002740169760146
pegasus,VeloxQ AutoTune,10.0,0.146496335905,0.03345487093707516,0.010047021013488644,0.006477168133932682
pegasus,CPLEX,12.0,1200.11034485975,0.09111030181992374,0.8122266772643869,0.380081807191003
pegasus,VeloxQ AutoTune,12.0,0.293607109895,0.03314707279324222,0.020755018883435027,0.011386911470593765
pegasus,CPLEX,14.0,1200.2651855735999,0.7566960832231956,1.0077335242447518,0.9527051623993132
pegasus,VeloxQ AutoTune,14.0,0.38848944562,0.0336725241649137,0.023973192422197913,0.009176757642119466
pegasus,CPLEX,16.0,1200.09070442995,0.015154847730862765,3.4085537496078744,1.6738356583183025
pegasus,VeloxQ AutoTune,16.0,0.509733370535,0.0047391781587632935,0.027436144226387446,0.0100689409564533
