instance,num_var,cplex_energy,beit_energy,gap,beit_tts,cplex_tts
randomIsingDWaveChimera_8_2_dense_1.h5,128,-1830.25,-1830.25,0.0,142.002225795,0.005066003
randomIsingDWaveChimera_8_3_dense_1.h5,192,-2907.25,-2907.25,0.0,111.968876052,0.008075869
randomIsingDWaveChimera_8_4_dense_1.h5,256,-3672.25,-3672.25,0.0,115.253426179,0.029648869
randomIsingDWaveChimera_8_5_dense_1.h5,320,-4768.0,-4768.0,0.0,116.23025011,0.011277379
randomIsingDWaveChimera_8_6_dense_1.h5,384,-5624.5,-5624.5,0.0,116.271442122,0.025739512
randomIsingDWaveChimera_8_7_dense_1.h5,448,-6406.25,-6406.25,0.0,115.314305282,0.019377988
randomIsingDWaveChimera_8_8_dense_1.h5,512,-7493.0,-7493.0,0.0,114.92966425,0.028986076
randomIsingDWaveChimera_8_9_dense_1.h5,576,-8491.5,-8491.5,0.0,120.367354772,0.036326138
randomIsingDWaveChimera_8_10_dense_1.h5,640,-9247.25,-9247.25,0.0,114.308202796,0.03849528
randomIsingDWaveChimera_8_11_dense_1.h5,704,-9994.5,-9994.5,0.0,115.567396071,0.036844323
randomIsingDWaveChimera_8_12_dense_1.h5,768,-11011.25,-11011.25,0.0,112.025980047,0.057891851
randomIsingDWaveChimera_8_13_dense_1.h5,832,-11860.75,-11860.75,0.0,350.542877065,0.06179837
randomIsingDWaveChimera_8_14_dense_1.h5,896,-13299.25,-13299.25,0.0,118.624833416,0.057572348
randomIsingDWaveChimera_8_15_dense_1.h5,960,-13813.75,-13813.75,0.0,120.743232584,0.064741027
randomIsingDWaveChimera_8_16_dense_1.h5,1024,-15110.25,-15110.25,0.0,115.258955152,0.072195949
