instance,size,cplex_runtime_mean,velox_autotune_energy_mean,velox_custom_energy_mean,velox_autotune_runtime_mean,velox_custom_runtime_mean,runtime_bf
40.txt,40,0.20685537140000002,-106.36286443756993,-106.36286443756993,0.045562482700000004,0.0046325936,1.9557556249201298
42.txt,42,0.24012641829999998,-114.74454070931354,-114.74454070931354,0.0447365417,0.0045108379,2.8386053848080337
44.txt,44,0.8630548191,-121.35592304728013,-121.35592304728013,0.046079135199999996,0.0044902990000000005,3.1222691917791963
46.txt,46,0.3742346522,-138.32964034358451,-138.32964034358451,0.0462958515,0.004467917600000001,21.02003423194401
48.txt,48,1.3088357060999998,-146.48514344318212,-146.48514344318212,0.051738197,0.0046752881,67.90512106998358
50.txt,50,0.9836830796000001,-147.1545542891742,-147.1545542891742,0.0424726663,0.008612934999999999,255.04062644101214
52.txt,52,0.9898408152,-166.9811987121225,-166.9811987121225,0.0447468091,0.0045170607000000005,1003.6334391880082
54.txt,54,5.661748468400001,-169.72877918703628,-169.72877918703628,0.050900003000000006,0.0048455909,3994.3611001259414
56.txt,56,5.153342003500001,-181.08897900067495,-181.08897900067495,0.05666895330000001,0.0049475121,15962.268701544032
58.txt,58,2.3880409835000003,-198.9883020143716,-198.9883020143716,0.044645923600000005,0.0047803939,63823.01721166505
60.txt,60,17.135531651399994,-201.46228767403062,-201.46228767403062,0.059503643399999986,0.0048209277,255292.15375327598
