size,x_value,solver_variant,runtime_velox_mean,runtime_velox_std,runtime_sa_mean,runtime_sa_std,runtime_cplex_mean,runtime_cplex_std,gap_sa_mean,gap_sa_std,gap_cplex_mean,gap_cplex_std
198,100.0,AutoTune VeloxQ,0.048106548,0.010591938398613669,7.4654441331,7.748980593207636,0.09300696480000001,0.04681330936273615,0.22749207421291046,0.16923125147703158,0.2274895484,0.1692316667893496
198,100.0,Custom VeloxQ,0.014436342799999998,0.0008342027802063219,7.4654441331,7.748980593207636,0.09300696480000001,0.04681330936273615,0.7363034167276471,0.3852215584344456,0.7363010990000001,0.38522107907743763
310,156.0,AutoTune VeloxQ,0.046053991100000004,0.010475984880902707,7.4745624711000005,0.504656760394847,0.0690068134,0.012211061386924257,0.6433518823771941,0.26478391487195824,0.649184784,0.2687307171839501
310,156.0,Custom VeloxQ,0.0167005942,0.005414107639336018,7.4745624711000005,0.504656760394847,0.0690068134,0.012211061386924257,1.0389093045091342,0.4888726349699459,1.044722881,0.49009760831847615
864,433.0,AutoTune VeloxQ,0.0649233729,0.007557872771368416,33.9386272561,1.6158967181015083,0.229221258,0.02769462599959342,1.27244267006645,0.13434841887753063,1.3958073199999999,0.14480962766815075
864,433.0,Custom VeloxQ,0.016692992400000002,0.003637751836332807,33.9386272561,1.6158967181015083,0.229221258,0.02769462599959342,1.6131440296898956,0.36291260056742614,1.7361807200000001,0.33594277203002165
1998,1000.0,AutoTune VeloxQ,0.1069192086,0.0033710328303324095,51.1958004674,2.0249492911903855,0.8640664317000001,0.043573803480216534,1.666365725091925,0.1475742654812648,1.96764489,0.16400352427716947
1998,1000.0,Custom VeloxQ,0.015278319600000001,0.0022689658303595883,51.1958004674,2.0249492911903855,0.8640664317000001,0.043573803480216534,1.7465546004405919,0.1092203506841511,2.0475953000000002,0.12429988472252632
19998,10000.0,AutoTune VeloxQ,0.8241784769,0.03161540443227934,607.2380552577,20.012751974927685,18.6804997795,0.7463102603273465,2.1351717527297684,0.11538144348992387,2.69463519,0.11626019396093538
19998,10000.0,Custom VeloxQ,0.0193163105,0.0008897681344935068,607.2380552577,20.012751974927685,18.6804997795,0.7463102603273465,1.7925775379055335,0.11745138605684854,2.3539868,0.1304129028604916
39998,20000.0,AutoTune VeloxQ,1.6277083526999998,0.06523223120989305,1184.0239909733,43.301575011821015,36.5483883646,1.5408961533447014,2.189676791129151,0.11395479563524193,2.79050794,0.10199385806045366
39998,20000.0,Custom VeloxQ,0.0279361294,0.002272892490235403,1184.0239909733,43.301575011821015,36.5483883646,1.5408961533447014,1.7423414862239617,0.061125868683113586,2.34591246,0.05713429340959577
99998,50000.0,AutoTune VeloxQ,4.2113461457,0.08367242357376363,2940.3276323876003,62.6447757830643,122.70493818950001,3.4812334731471264,2.2729759880385965,0.07261469403561906,2.92780445,0.07989032011285166
99998,50000.0,Custom VeloxQ,0.0510095564,0.0011765674705000722,2940.3276323876003,62.6447757830643,122.70493818950001,3.4812334731471264,1.7762024173480175,0.0731199475564846,2.4343699699999997,0.06460308107232875
199998,100000.0,AutoTune VeloxQ,8.1414565329,0.11888253300960747,5854.399902826501,195.156592355344,346.3636878322,11.334091398186905,2.396549189510888,0.10068554285107492,3.0855726900000002,0.09723545738672414
199998,100000.0,Custom VeloxQ,0.0940488286,0.00524676565846523,5854.399902826501,195.156592355344,346.3636878322,11.334091398186905,1.7474537676703785,0.034619497200368075,2.44105616,0.033113851508971684
999998,500000.0,AutoTune VeloxQ,40.1515364358,0.37241462154374383,29145.9147728707,796.6396726341436,6688.555769098401,1738.4237250109798,2.5167350858769417,0.07142530221178595,3.2368881000000003,0.06752085042057593
999998,500000.0,Custom VeloxQ,0.7906374394,0.16377288124482875,29145.9147728707,796.6396726341436,6688.555769098401,1738.4237250109798,1.7114850474506227,0.023839135050560307,2.43758558,0.01839170875632097
1999998,1000000.0,AutoTune VeloxQ,80.0880636765,1.150016141553444,57407.4304528557,951.1414867934832,10847.0729218548,53.966592962246814,2.5883168484947534,0.16021685856904588,-10.16178868,3.229489673346819
1999998,1000000.0,Custom VeloxQ,1.7002977647000002,0.0074193730130700675,57407.4304528557,951.1414867934832,10847.0729218548,53.966592962246814,1.7144228911635673,0.04500878230356319,-11.148059700000001,3.174050865561093
9999998,5000000.0,AutoTune VeloxQ,398.6451951541,4.75901272353903,286156.9887038588,3665.4958350450297,,,2.6579323050296426,0.09268590781116173,,
9999998,5000000.0,Custom VeloxQ,8.0576502425,0.04816414364288121,286156.9887038588,3665.4958350450297,,,1.684257566389837,0.042317719197640255,,
19999998,10000000.0,AutoTune VeloxQ,638.0807642184,23.12598069041596,176285.7600150012,1858.4975929860902,,,2.4672368675389604,0.034508946201787315,,
19999998,10000000.0,Custom VeloxQ,15.6053135516,0.15754913286264172,176285.7600150012,1858.4975929860902,,,1.5190438117256182,0.056904480750576296,,
99999998,50000000.0,AutoTune VeloxQ,1967.050214989,,867811.25919615,,,,2.5749974281612813,,,
99999998,50000000.0,Custom VeloxQ,60.690738277,,867811.25919615,,,,1.4815565574079272,,,
